Time (ns),Distance (Å)
1.705,9.156564133440245
1.7075,8.816442521257008
1.71,9.61578921634403
1.7125,9.531453472614654
1.715,8.89475173034975
1.7175,9.298106665820564
1.72,8.937478555791136
1.7225,9.032303412155494
1.725,9.091414002281898
1.7275,8.991250271604871
1.73,9.210781862772011
1.7325,8.748033088817442
1.735,8.95698110430798
1.7375,8.9098899256594
1.74,8.939469394462595
1.7425,8.973996319095077
1.745,8.842927104164017
1.7475,8.994720272924408
1.75,9.117022371346286
1.7525,8.91530338566879
1.755,8.97265329347633
1.7575,8.915235522697197
1.76,8.827293023380708
1.7625,9.156290962583105
1.765,9.004842591184957
1.7675,9.188331186657226
1.77,8.988081567061727
1.7725,9.101196543835565
1.775,8.851859328485236
1.7775,9.074393414940243
1.78,8.860328861132414
1.7825,9.007748944626089
1.785,8.71634327433849
1.7875,8.904393204930738
1.79,8.755202126165155
1.7925,8.879036217337646
1.795,8.961311934903527
1.7975,8.8456274602419
1.8,8.929081633399687
1.8025,8.917569846547808
1.805,8.871874777731533
1.8075,9.007157567982599
1.81,9.017007487210256
1.8125,8.942424310493381
1.815,8.905219222405352
1.8175,9.189266622695444
1.82,8.918612344833099
1.8225,8.816540112451973
1.825,8.824794769815453
1.8275,9.01529944789349
1.83,9.051028587198699
1.8325,8.850094579895146
1.835,9.016662911694992
1.8375,8.891422155984936
1.84,8.73973459685369
1.8425,8.983171972762651
1.845,8.866008785802665
1.8475,9.364077268679452
1.85,8.939878183751553
1.8525,9.10552569625258
1.855,8.87664732221984
1.8575,8.948345705959182
1.86,9.099309814867519
1.8625,9.103237260864885
1.865,9.196244041008029
1.8675,8.925349584102722
1.87,8.939445826738305
1.8725,8.826578179264908
1.875,9.304433240336921
1.8775,8.911124469697032
1.88,9.029348775506019
1.8825,9.083509447335917
1.885,8.73809012620104
1.8875,9.143556911355958
1.89,8.994145000891043
1.8925,8.931297943221654
1.895,8.965347380038459
1.8975,8.900679152330358
1.9,8.987218076960941
1.9025,8.950468103983823
1.905,9.038870722981311
1.9075,8.90738265690524
1.91,8.224787988412055
1.9125,8.774995448221325
1.915,8.816914266995129
1.9175,8.709039470204802
1.92,8.505543339306378
1.9225,8.66714016873881
1.925,9.015969724897992
1.9275,8.63873571569602
1.93,8.706919450733109
1.9325,8.571214160489689
1.935,8.383992874329628
1.9375,8.673838353195672
1.94,8.158575658213493
1.9425,8.696924876299029
1.945,8.502783190937402
1.9475,9.318803226026056
1.95,8.9629537253756
1.9525,8.87602138873243
1.955,8.737017863544208
1.9575,8.752772018621647
1.96,8.72267739298345
1.9625,8.758595076861708
1.965,9.045450087386097
1.9675,8.732900568074509
1.97,8.655415590774348
1.9725,8.952602101280576
1.975,8.899196203495082
1.9775,8.793166054251929
1.98,8.840963555184816
1.9825,8.993034551009966
1.985,8.763863954839731
1.9875,8.87794217985233
1.99,9.243755702172653
1.9925,9.404115624256987
1.995,9.302493403583561
1.9975,9.026761577955519
2.0,8.90486097352163
2.0025,8.647976146578577
2.005,8.556317839015565
2.0075,9.033016932121482
2.01,9.013631288791125
2.0125,8.81451883857295
2.015,8.959384901125004
2.0175,8.9254020918027
2.02,8.814797911254923
2.0225,8.9759567783923
2.025,8.853413473976602
2.0275,8.810794544038869
2.03,8.465422696669926
2.0325,8.88151230357886
2.035,8.89250561529999
2.0375,8.955397354763083
2.04,9.2409196951053
2.0425,8.868583808455748
2.045,9.088480273452822
2.0475,8.787025406901897
2.05,8.784473196620663
2.0525,9.294334655330163
2.055,8.862224929162057
2.0575,8.86355349757245
2.06,8.791282702631255
2.0625,8.728770400114367
2.065,8.93933532658762
2.0675,8.708535957195553
2.07,8.694282154144753
2.0725,9.00846735778478
2.075,9.181154559840467
2.0775,8.869533015139206
2.08,9.102856662234833
2.0825,8.931988965518899
2.085,9.03093167376231
2.0875,9.02528869408282
2.09,9.008053940434603
2.0925,8.837342868930307
2.095,9.037706187446204
2.0975,8.909485050967895
2.1,8.852403100397146
2.1025,8.83154942418119
2.105,8.831778113487522
2.1075,8.87679008916864
2.11,9.174342676248518
2.1125,9.058201084984425
2.115,9.059160260008674
2.1175,8.858877448253269
2.12,8.50634690239951
2.1225,8.639010269620377
2.125,8.827803238821158
2.1275,8.869927701716396
2.13,8.76111455673331
2.1325,8.910852152386804
2.135,8.745450288623019
2.1375,8.692234003480198
2.14,8.861882355139535
2.1425,8.798593069590193
2.145,8.86504243144047
2.1475,9.004693575045263
2.15,8.792314641038491
2.1525,8.36553475699668
2.155,9.016561720393456
2.1575,8.78727068575989
2.16,8.860148999858701
2.1625,9.31131598244708
2.165,8.946920907923099
2.1675,9.109500122052289
2.17,8.977007032043378
2.1725,9.102955159394917
2.175,8.904544894472759
2.1775,8.989553336355588
2.18,8.923909448131239
2.1825,8.976821991141316
2.185,8.727685212128717
2.1875,9.006209643288448
2.19,8.854364281089545
2.1925,8.941333386530234
2.195,8.790780213499243
2.1975,8.874257251790922
2.2,9.1177292708818
2.2025,8.75404735461489
2.205,8.758752050950358
2.2075,8.641349183984723
2.21,8.817464332334765
2.2125,8.780586753812216
2.215,8.644001816549626
2.2175,8.912856107980176
2.22,9.016367109605872
2.2225,8.943312815032137
2.225,9.082778521353253
2.2275,8.889971299067112
2.23,8.996644505227305
2.2325,8.840144596913603
2.235,8.873816149956193
2.2375,8.750419777843614
2.24,8.96531789968942
2.2425,9.2211106481795
2.245,9.091562774844757
2.2475,9.022715393766353
2.25,8.806935104467922
2.2525,8.81196679881612
2.255,9.114967021428033
2.2575,9.20039716704719
2.26,8.91772821435931
2.2625,9.171799369221198
2.265,9.0353446150264
2.2675,8.926534642557472
2.27,8.763641993195296
2.2725,8.664011026877308
2.275,8.904048630434987
2.2775,8.875438105657135
2.28,8.51602067091327
2.2825,8.52709680125574
2.285,8.812320787064044
2.2875,8.97914365553513
2.29,8.80342125112642
2.2925,8.863605419786825
2.295,8.992626722119404
2.2975,8.684409686516268
2.3,8.611510322375326
2.3025,8.854109384335446
2.305,8.871854429514967
2.3075,9.144539228580664
2.31,8.850878298190567
2.3125,8.79707586278158
2.315,9.141539898566663
2.3175,9.010983517173642
2.32,8.876408008023226
2.3225,8.815930166557239
2.325,9.010406624832205
2.3275,8.845282260822248
2.33,9.028832673100725
2.3325,9.089694718725664
2.335,9.048034165240464
2.3375,8.836718618967636
2.34,8.72828265205477
2.3425,8.585183772577054
2.345,9.11513879909662
2.3475,9.026528142209807
2.35,9.082719028128858
2.3525,8.9422492376439
2.355,8.785581266450185
2.3575,8.966087049463598
2.36,8.852491755265607
