Frame,Donor ID,Hydrogen ID,Acceptor ID,Distance (Å),Angle (Degrees)
477.0,28744.0,28745.0,17.0,3.0963671962447976,155.38515701843104
483.0,40924.0,40925.0,17.0,2.9394893889835845,154.5494846401253
492.0,43675.0,43677.0,17.0,3.032260786713561,158.30215107335496
495.0,35059.0,35061.0,17.0,3.2422223097372624,164.4359196782688
501.0,55774.0,55776.0,17.0,2.8872825652860192,155.71289170916867
504.0,55774.0,55775.0,17.0,3.031831481126254,165.17669687579533
519.0,36184.0,36185.0,17.0,2.776201267554147,163.97485645125985
521.0,52246.0,52247.0,17.0,3.4357680325968394,166.88470290656343
536.0,28120.0,28121.0,17.0,3.171532105360123,168.21182740932815
548.0,10354.0,10355.0,17.0,3.332280683920152,161.26364400530446
552.0,14677.0,14678.0,17.0,3.0748019304495267,153.71122665925301
553.0,23938.0,23939.0,17.0,2.869044195836701,155.2193623139377
560.0,32956.0,32957.0,17.0,2.908934034154551,168.31170996956985
563.0,21610.0,21612.0,17.0,3.399544482641496,160.4249913105802
584.0,52246.0,52248.0,17.0,2.979632178551751,169.9237935658834
596.0,64219.0,64220.0,17.0,3.0425803426952656,170.5494617358285
598.0,30043.0,30044.0,17.0,3.1655175236529294,155.42358345897915
606.0,29800.0,29801.0,17.0,3.026366830491964,152.73315445379117
608.0,50200.0,50202.0,17.0,3.087960476948354,165.67065546157153
612.0,29800.0,29801.0,17.0,3.300679331845904,154.9136972296568
631.0,8365.0,8366.0,17.0,3.1305426957885736,167.12919922921347
658.0,6967.0,6969.0,17.0,3.4348358369962897,159.06168237821197
684.0,5653.0,5654.0,17.0,2.767907521710949,162.76520931853014
688.0,12607.0,12609.0,17.0,2.8520354096126552,163.18325586213507
696.0,23911.0,23912.0,17.0,3.352491444966162,155.83753348199616
703.0,62722.0,62723.0,17.0,3.230261802237978,153.63294218557348
717.0,34156.0,34157.0,17.0,3.074116766445051,153.99638274895355
718.0,34156.0,34157.0,17.0,2.996715988223469,178.5416744842964
722.0,12403.0,12405.0,17.0,2.9907522309666574,162.6797450231156
724.0,63292.0,63293.0,17.0,3.407949585737872,168.44267257900432
725.0,18004.0,18005.0,17.0,3.278002952047875,162.83656877007468
730.0,58696.0,58698.0,17.0,3.301544072127172,167.42001155056923
731.0,58696.0,58698.0,17.0,3.1187983255627842,158.46684352631712
746.0,7633.0,7635.0,17.0,2.864156963707221,158.1450306219057
749.0,23641.0,23642.0,17.0,3.1009844855292545,162.66172912252014
764.0,56497.0,56498.0,17.0,3.2980771844838617,164.5110241296168
765.0,56497.0,56499.0,17.0,2.7078772115960326,169.07963308740966
766.0,56497.0,56499.0,17.0,3.4608655423348553,169.88359577911496
